amenity,lat,lon,name
toilets,-1.3129949999999997,36.7945433,Kibera Free Methodist Pit Latrine
toilets,-1.3105433000000002,36.793185,
toilets,-1.3103299999999998,36.7931933,Magoso Primary Ablution Block
toilets,-1.31017,36.7930117,Pit Latrine
toilets,-1.3097883,36.7928767,Hanging Toilet
toilets,-1.3097,36.7926167,Pit Latrine
toilets,-1.3096333,36.7923333,
toilets,-1.3119899999999998,36.794025,Plot Toilet
toilets,-1.3116733,36.7953967,Capital One
toilets,-1.3116766999999998,36.7960383,NYS Toilet
toilets,-1.3112532999999997,36.7962517,Laini saba Jua Kali
toilets,-1.3110885999999997,36.795355699999995,Trench Toilet
toilets,-1.3114167,36.794323299999995,
toilets,-1.3127198,36.79172369999999,Ablution Block
toilets,-1.3124914999999997,36.7920827,
toilets,-1.3147633,36.78771,
toilets,-1.3158883,36.7869967,
toilets,-1.3148433,36.787828299999994,
toilets,-1.3147516999999997,36.78804,Four Eighty Four
toilets,-1.31423,36.7881833,
toilets,-1.315705,36.7884017,
toilets,-1.31438,36.78825669999999,
toilets,-1.3145767,36.78813,
toilets,-1.3149433,36.78835829999999,
toilets,-1.3153499999999998,36.788825,
toilets,-1.3149517,36.78920169999999,
toilets,-1.3148382999999997,36.7883133,
toilets,-1.3143866999999998,36.78879169999999,
toilets,-1.3144882999999998,36.78861499999999,
toilets,-1.3143832999999998,36.78892499999999,
toilets,-1.3129733,36.7861566,
toilets,-1.3131274,36.7863038,
toilets,-1.3127976,36.785944,NYS toilet number 27
toilets,-1.3129502999999998,36.7861189,
toilets,-1.3127292999999998,36.78620879999999,Sisi kwa sisi
toilets,-1.3124216,36.786184999999996,
toilets,-1.3123687,36.78620519999999,
toilets,-1.3123761,36.78638,
toilets,-1.3121644,36.7863063,
toilets,-1.3119714999999998,36.7867318,Ford 1
toilets,-1.3117624999999997,36.78701219999999,Kwa reli
toilets,-1.3131664,36.7866949,NYS toilet number 108
toilets,-1.3129189,36.78747169999999,
toilets,-1.3124983,36.7877907,Kwa choo
toilets,-1.3133559,36.7871587,Plot Toilet
toilets,-1.3107077,36.789381199999994,NYS toilet number 21
toilets,-1.313138,36.78783949999999,Uwanjani ground lini saba
toilets,-1.3130897,36.7886253,Kwa hall
toilets,-1.3109819000000003,36.78867819999999,
toilets,-1.3118838,36.788860799999995,NYS toilet number 109
toilets,-1.3126461999999999,36.7885084,Mtini
toilets,-1.3117303,36.78978839999999,Uwanjani
toilets,-1.3120582,36.7883512,Plot Toilet
toilets,-1.3120434,36.7891731,
toilets,-1.3123794,36.78807509999999,Watu moja lee
toilets,-1.3132599999999999,36.7897667,Kwa Sura
toilets,-1.3129425999999997,36.7891437,
toilets,-1.3135358999999998,36.78872809999999,
toilets,-1.3138047,36.788727699999995,Kwa mti
toilets,-1.3136447999999998,36.789657899999995,Church Toilet
toilets,-1.3133886999999997,36.7914682,Lindi central toilet
toilets,-1.3130418999999998,36.791881,NYS toilet 146
toilets,-1.3156443999999998,36.790884,
toilets,-1.3132532999999997,36.7912131,
toilets,-1.3134161,36.7927626,
toilets,-1.3142405,36.79190989999999,
toilets,-1.3143449000000003,36.791874,
toilets,-1.3150461,36.79137639999999,Plot Toilet
toilets,-1.3158317,36.7908667,
toilets,-1.3150705,36.7916135,
toilets,-1.3150948,36.791973999999996,Plot Toilet
toilets,-1.3150153999999998,36.7923402,Nys toilet
toilets,-1.3157684,36.7918573,NYS
toilets,-1.3166051999999997,36.79131859999999,
toilets,-1.3170057,36.7916361,
